[dotenv@17.3.1] injecting env (18) from .env -- tip: 🔐 prevent committing .env to code: https://dotenvx.com/precommit
✅ Background jobs started
✅ SKU Tracking System initialized
✅ Server running on port 4000
✅ MongoDB connected
✅ Default categories and brands seeded
>>> 2026-09-13T14:01:19.988Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:02:20.834Z GET /allproducts from ::1
>>> 2026-09-13T14:02:21.062Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:03:21.807Z GET /allproducts from ::1
>>> 2026-09-13T14:03:22.013Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:04:22.797Z GET /allproducts from ::1
>>> 2026-09-13T14:04:23.428Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:05:23.816Z GET /allproducts from ::1
>>> 2026-09-13T14:05:24.052Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:05:25.493Z GET /allproducts from ::1
>>> 2026-09-13T14:06:23.790Z GET /allproducts from ::1
>>> 2026-09-13T14:06:24.045Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:07:23.799Z GET /allproducts from ::1
>>> 2026-09-13T14:07:23.997Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:07:30.539Z POST /getcart from ::1
>>> 2026-09-13T14:07:30.559Z GET /user/profile from ::1
>>> 2026-09-13T14:07:30.563Z GET /allproducts from ::1
>>> 2026-09-13T14:07:30.564Z GET /userfavorites from ::1
>>> 2026-09-13T14:07:30.663Z GET /allproducts from ::1
>>> 2026-09-13T14:07:30.806Z GET /allproducts from ::1
>>> 2026-09-13T14:07:31.605Z GET /allproducts from ::1
>>> 2026-09-13T14:07:31.627Z POST /getcart from ::1
>>> 2026-09-13T14:07:31.634Z GET /user/profile from ::1
>>> 2026-09-13T14:07:31.636Z GET /userfavorites from ::1
>>> 2026-09-13T14:07:31.759Z GET /allproducts from ::1
>>> 2026-09-13T14:07:32.093Z GET /allproducts from ::1
>>> 2026-09-13T14:07:52.863Z GET /userfavorites from ::1
>>> 2026-09-13T14:07:52.886Z GET /user/profile from ::1
>>> 2026-09-13T14:07:52.890Z POST /getcart from ::1
>>> 2026-09-13T14:07:53.012Z GET /allproducts from ::1
>>> 2026-09-13T14:07:53.043Z GET /allproducts from ::1
>>> 2026-09-13T14:07:55.405Z GET /allproducts from ::1
>>> 2026-09-13T14:07:55.439Z POST /getcart from ::1
>>> 2026-09-13T14:07:55.449Z GET /userfavorites from ::1
>>> 2026-09-13T14:07:55.453Z GET /user/profile from ::1
>>> 2026-09-13T14:07:55.583Z GET /allproducts from ::1
>>> 2026-09-13T14:07:55.612Z GET /allproducts from ::1
>>> 2026-09-13T14:08:08.454Z POST /getcart from ::1
>>> 2026-09-13T14:08:08.516Z GET /userfavorites from ::1
>>> 2026-09-13T14:08:08.520Z GET /myreviews from ::1
>>> 2026-09-13T14:08:08.522Z GET /orderhistory?page=1&limit=1&status=all from ::1
[OrderHistory] User: 6a24564570942048bfcc7092, Status Filter: all
[OrderHistory] Final Query: {"$or":[{"userId":"6a24564570942048bfcc7092"},{"user":"6a24564570942048bfcc7092"},{"userId":"6a24564570942048bfcc7092"},{"user":"6a24564570942048bfcc7092"}]}
>>> 2026-09-13T14:08:08.525Z GET /user/profile from ::1
>>> 2026-09-13T14:08:08.585Z GET /allproducts from ::1
>>> 2026-09-13T14:08:08.639Z GET /allproducts from ::1
>>> 2026-09-13T14:08:12.891Z POST /getcart from ::1
>>> 2026-09-13T14:08:12.969Z POST /getcart from ::1
>>> 2026-09-13T14:08:12.972Z GET /userfavorites from ::1
>>> 2026-09-13T14:08:13.020Z GET /user/profile from ::1
>>> 2026-09-13T14:08:13.025Z GET /userfavorites from ::1
>>> 2026-09-13T14:08:13.027Z GET /user/profile from ::1
>>> 2026-09-13T14:08:13.093Z GET /allproducts from ::1
>>> 2026-09-13T14:08:13.137Z GET /allproducts from ::1
>>> 2026-09-13T14:08:13.222Z GET /allproducts from ::1
>>> 2026-09-13T14:08:13.266Z GET /allproducts from ::1
>>> 2026-09-13T14:08:23.799Z GET /allproducts from ::1
>>> 2026-09-13T14:08:23.977Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:08:55.581Z GET /allproducts from ::1
>>> 2026-09-13T14:09:23.790Z GET /allproducts from ::1
>>> 2026-09-13T14:09:24.005Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:10:23.798Z GET /allproducts from ::1
